tax_id,low,target_rank,comment
1,100,below_forma,
1,100,forma,
1,100,below_varietas,
1,100,varietas,
1,100,below_below_below_subspecies,
1,100,below_below_subspecies,
1,100,below_subspecies,
1,100,subspecies,
1,100,below_below_below_species,
1,100,below_below_species,
1,100,below_species,
1,99,species,
1,98,species_group,
1,98,subgenus,
1,97,genus,
1,95,subfamily,
1,95,family,
1,95,superfamily,
1,93,suborder,
1,93,order,
1,90,subclass,
1,90,class,
1,90,superclass,
1,85,subphylum,
1,80,phylum,
1,80,superphylum,
1,75,subkingdom,
1,75,kingdom,
1,75,root,
571,99,species,Klebsiella oxytoca
570,97,genus,Klebsiella
543,95,family,Enterobacteriaceae
